check,status,path,detail
required_expected_output,PASS,outputs/expected/intervention_validation/feasibility_report.md,required expected output
required_expected_output,PASS,outputs/expected/intervention_validation/stop_counterfactual_triggers.csv,required expected output
required_expected_output,PASS,outputs/expected/intervention_validation/stop_counterfactual_summary_by_detector.csv,required expected output
required_expected_output,PASS,outputs/expected/intervention_validation/stop_counterfactual_summary_by_location.csv,required expected output
required_expected_output,PASS,outputs/expected/intervention_validation/stop_counterfactual_near_f1_pairs.csv,required expected output
required_expected_output,PASS,outputs/expected/intervention_validation/stop_counterfactual_report.md,required expected output
required_expected_output,PASS,outputs/expected/intervention_validation/intervention_validation_master_report.md,required expected output
required_expected_output,PASS,outputs/expected/intervention_validation/prefix_branch_feasibility_only.md,required expected output
required_expected_output,PASS,outputs/expected/paper_findings/headline_findings.csv,required expected output
required_expected_output,PASS,outputs/expected/paper_findings/headline_findings.md,required expected output
required_expected_output,PASS,outputs/expected/paper_findings/strongest_near_f1_risk_pairs.csv,required expected output
required_expected_output,PASS,outputs/expected/paper_findings/strongest_near_f1_risk_pairs.md,required expected output
required_expected_output,PASS,outputs/expected/paper_findings/detector_family_summary.csv,required expected output
required_expected_output,PASS,outputs/expected/paper_findings/detector_family_summary.md,required expected output
required_expected_output,PASS,outputs/expected/paper_findings/dataset_role_summary.csv,required expected output
required_expected_output,PASS,outputs/expected/paper_findings/dataset_role_summary.md,required expected output
required_expected_output,PASS,outputs/expected/live_intervention/feasibility_report.md,required expected output
required_expected_output,PASS,outputs/expected/live_intervention/feasibility_report.json,required expected output
required_expected_output,PASS,outputs/expected/live_intervention/live_intervention_not_feasible.md,required expected output
required_expected_output,PASS,outputs/expected/live_intervention/prefix_branch_sample.csv,required expected output
required_expected_output,PASS,outputs/expected/live_intervention/prefix_branch_results.csv,required expected output
required_expected_output,PASS,outputs/expected/live_intervention/prefix_branch_summary.csv,required expected output
required_expected_output,PASS,outputs/expected/live_intervention/live_intervention_report.md,required expected output
required_expected_output,PASS,outputs/expected/live_intervention/sampling_report.md,required expected output
required_expected_output,PASS,outputs/expected/live_intervention/run_report.md,required expected output
required_expected_output,PASS,outputs/expected/provenance_audit/provenance_summary_by_pool.csv,required expected output
required_expected_output,PASS,outputs/expected/provenance_audit/provenance_audit_report.md,required expected output
required_expected_output,PASS,outputs/expected/api_replan_intervention/api_env_check.md,required expected output
required_expected_output,PASS,outputs/expected/api_replan_intervention/prefix_replan_sample.csv,required expected output
required_expected_output,PASS,outputs/expected/api_replan_intervention/prefix_replan_prompts.jsonl,required expected output
required_expected_output,PASS,outputs/expected/api_replan_intervention/api_replan_parsed_responses.csv,required expected output
required_expected_output,PASS,outputs/expected/api_replan_intervention/api_replan_summary_by_group.csv,required expected output
required_expected_output,PASS,outputs/expected/api_replan_intervention/api_replan_pairwise_effects.csv,required expected output
required_expected_output,PASS,outputs/expected/api_replan_intervention/api_replan_report.md,required expected output
required_expected_output,PASS,outputs/expected/api_replan_intervention/api_call_log.csv,required expected output
required_expected_output,PASS,outputs/expected/api_replan_intervention/fig6_api_replan_intervention.pdf,required expected output
required_expected_output,PASS,outputs/expected/api_replan_intervention/fig6_api_replan_intervention.png,required expected output
required_expected_output,PASS,outputs/expected/api_replan_intervention/fig6_api_replan_intervention.svg,required expected output
required_expected_output,PASS,outputs/expected/api_replan_intervention/table_api_replan_summary.csv,required expected output
required_expected_output,PASS,outputs/expected/api_replan_intervention/table_api_replan_pairwise_effects.csv,required expected output
required_expected_output,PASS,outputs/expected/api_replan_intervention/api_replan_manifest.json,required expected output
manifest,PASS,manifest_sha256.csv,checked 244 entries
reproduction_test,PASS,tests/test_reproduce_key_outputs.py,headline reproducibility test passed; raw-runtime-dependent reruns are partial by design
