released_task_id,benchmark_instance_id,repo,base_commit,problem_statement_hash,task_source,selected_order,selected_for_30,selected_for_60,traceability_level,docker_image,notes
released_task_790aa72b63479f0d,django__django-11138,django/django,c84b91b7603e488f7171fdff8f08368ef3d6b856,b33c129178156fdb6d35f4d406ac6090bc6fbb7b220893ec068c0d76d7bca1ea,princeton-nlp/SWE-Bench_Verified:test,31,False,True,public_benchmark_fallback,docker.io/swebench/sweb.eval.x86_64.django_1776_django-11138:latest,Frozen before official-oracle outcomes; prior pilot order reused as prefix when available.
released_task_e0fc0264ae28642d,scikit-learn__scikit-learn-13439,scikit-learn/scikit-learn,a62775e99f2a5ea3d51db7160fad783f6cd8a4c5,bcdb7c064b7370929b2d8b37e9b35008d95bc4050e49372d9f13723e13f8baa4,princeton-nlp/SWE-Bench_Verified:test,32,False,True,public_benchmark_fallback,docker.io/swebench/sweb.eval.x86_64.scikit-learn_1776_scikit-learn-13439:latest,Frozen before official-oracle outcomes; prior pilot order reused as prefix when available.
released_task_8fd6e55bdee766f4,sympy__sympy-16792,sympy/sympy,09786a173e7a0a488f46dd6000177c23e5d24eed,48b3d6d8e3ddfc9a78b57d8f79cf5ca78ba55a990f1eba937b998fd9160a77a8,princeton-nlp/SWE-Bench_Verified:test,33,False,True,public_benchmark_fallback,docker.io/swebench/sweb.eval.x86_64.sympy_1776_sympy-16792:latest,Frozen before official-oracle outcomes; prior pilot order reused as prefix when available.
released_task_c77d8a4dcc11bb0a,scikit-learn__scikit-learn-13135,scikit-learn/scikit-learn,a061ada48efccf0845acae17009553e01764452b,582b6fe37fa8edbe272dd4ea41164cad281e24f1b7c1970a33a900e93b8180df,princeton-nlp/SWE-Bench_Verified:test,34,False,True,public_benchmark_fallback,docker.io/swebench/sweb.eval.x86_64.scikit-learn_1776_scikit-learn-13135:latest,Frozen before official-oracle outcomes; prior pilot order reused as prefix when available.
released_task_55b2031312bdb4bf,django__django-15368,django/django,e972620ada4f9ed7bc57f28e133e85c85b0a7b20,1bced2e7a3d9d1a655c00e9057eca1f32180b3ef8cbdb43fa560b580531f07d0,princeton-nlp/SWE-Bench_Verified:test,35,False,True,public_benchmark_fallback,docker.io/swebench/sweb.eval.x86_64.django_1776_django-15368:latest,Frozen before official-oracle outcomes; prior pilot order reused as prefix when available.
released_task_12d4bb2102dc2f56,matplotlib__matplotlib-20826,matplotlib/matplotlib,a0d2e399729d36499a1924e5ca5bc067c8396810,881edf60640e55712a3d98f4ab4da1ef4c7e1976c75cb152ed0507cc5522d216,princeton-nlp/SWE-Bench_Verified:test,36,False,True,public_benchmark_fallback,docker.io/swebench/sweb.eval.x86_64.matplotlib_1776_matplotlib-20826:latest,Frozen before official-oracle outcomes; prior pilot order reused as prefix when available.
released_task_a919c7a583ab5954,django__django-11206,django/django,571ab44e8a8936014c22e7eebe4948d9611fd7ce,ee97fdc81bae9d09d812606706e4594d671418a6b4ece0d0e649518e4b915e07,princeton-nlp/SWE-Bench_Verified:test,37,False,True,public_benchmark_fallback,docker.io/swebench/sweb.eval.x86_64.django_1776_django-11206:latest,Frozen before official-oracle outcomes; prior pilot order reused as prefix when available.
released_task_cab2f650d91f6374,scikit-learn__scikit-learn-10844,scikit-learn/scikit-learn,97523985b39ecde369d83352d7c3baf403b60a22,43c3e45ef59dc9057830a2c20fe3663e490c3a54df511936a4c7965337f4d1a0,princeton-nlp/SWE-Bench_Verified:test,38,False,True,public_benchmark_fallback,docker.io/swebench/sweb.eval.x86_64.scikit-learn_1776_scikit-learn-10844:latest,Frozen before official-oracle outcomes; prior pilot order reused as prefix when available.
released_task_f45d0c7549f17baa,sympy__sympy-11618,sympy/sympy,360290c4c401e386db60723ddb0109ed499c9f6e,7eec6e997311bf1014a07659710714c0a891fd0e5b9d58dadb31a83b23746330,princeton-nlp/SWE-Bench_Verified:test,39,False,True,public_benchmark_fallback,docker.io/swebench/sweb.eval.x86_64.sympy_1776_sympy-11618:latest,Frozen before official-oracle outcomes; prior pilot order reused as prefix when available.
released_task_58ded97d74649fee,sphinx-doc__sphinx-8551,sphinx-doc/sphinx,57ed10c68057c96491acbd3e62254ccfaf9e3861,59b1b15138bca3802f81a94c49ced00a098c6dc015474f0a7c06967bc623d7b6,princeton-nlp/SWE-Bench_Verified:test,40,False,True,public_benchmark_fallback,docker.io/swebench/sweb.eval.x86_64.sphinx-doc_1776_sphinx-8551:latest,Frozen before official-oracle outcomes; prior pilot order reused as prefix when available.
released_task_6205c20339254394,django__django-13212,django/django,f4e93919e4608cfc50849a1f764fd856e0917401,a79d287e01597f81eca52a95eafec22b22872f3dc0e06b8837a711242627b150,princeton-nlp/SWE-Bench_Verified:test,41,False,True,public_benchmark_fallback,docker.io/swebench/sweb.eval.x86_64.django_1776_django-13212:latest,Frozen before official-oracle outcomes; prior pilot order reused as prefix when available.
released_task_47d55095abaa47f9,django__django-16661,django/django,d687febce5868545f99974d2499a91f81a32fef5,8ae40c58d69fbb6c556a88fd5efa91256048a66c1a75b2b6047bedc907979619,princeton-nlp/SWE-Bench_Verified:test,42,False,True,public_benchmark_fallback,docker.io/swebench/sweb.eval.x86_64.django_1776_django-16661:latest,Frozen before official-oracle outcomes; prior pilot order reused as prefix when available.
released_task_565e882d2900a39c,django__django-11734,django/django,999891bd80b3d02dd916731a7a239e1036174885,b51d07c9174dd7bef00b07bb42a728e48a83131a9a9b752fa99f6eb5ef0c76cc,princeton-nlp/SWE-Bench_Verified:test,43,False,True,public_benchmark_fallback,docker.io/swebench/sweb.eval.x86_64.django_1776_django-11734:latest,Frozen before official-oracle outcomes; prior pilot order reused as prefix when available.
released_task_3f855a12db0ec3f4,astropy__astropy-13398,astropy/astropy,6500928dc0e57be8f06d1162eacc3ba5e2eff692,c26c8dc258dc5cb9dd34f30bdbaaed3f19a8ada137e0f19d81d7f57dc5f11bba,princeton-nlp/SWE-Bench_Verified:test,44,False,True,public_benchmark_fallback,docker.io/swebench/sweb.eval.x86_64.astropy_1776_astropy-13398:latest,Frozen before official-oracle outcomes; prior pilot order reused as prefix when available.
released_task_c4961460689c63a7,django__django-12858,django/django,f2051eb8a7febdaaa43bd33bf5a6108c5f428e59,9f760a5124387f24e94d814b847aa7d039df33cb4cb376c2a61cd36815dd7310,princeton-nlp/SWE-Bench_Verified:test,45,False,True,public_benchmark_fallback,docker.io/swebench/sweb.eval.x86_64.django_1776_django-12858:latest,Frozen before official-oracle outcomes; prior pilot order reused as prefix when available.
released_task_013d7986c4fc8511,django__django-14053,django/django,179ee13eb37348cd87169a198aec18fedccc8668,cca208480bfc81085f4ca0bf64ee24023dbc67f90016f0f45790b5b6170683b8,princeton-nlp/SWE-Bench_Verified:test,46,False,True,public_benchmark_fallback,docker.io/swebench/sweb.eval.x86_64.django_1776_django-14053:latest,Frozen before official-oracle outcomes; prior pilot order reused as prefix when available.
released_task_d8741bb288a4ade9,django__django-16256,django/django,76e37513e22f4d9a01c7f15eee36fe44388e6670,8573a7026e50e932c44f36aeeb9c57c6fd28231d65e43fb98b39afa563d4f01c,princeton-nlp/SWE-Bench_Verified:test,47,False,True,public_benchmark_fallback,docker.io/swebench/sweb.eval.x86_64.django_1776_django-16256:latest,Frozen before official-oracle outcomes; prior pilot order reused as prefix when available.
released_task_75ab04e6eb0a46d4,scikit-learn__scikit-learn-14894,scikit-learn/scikit-learn,fdbaa58acbead5a254f2e6d597dc1ab3b947f4c6,0cf2009aebab59ce0221a4ccda59465d8506a274a5d76a4f9e35338c5373ced5,princeton-nlp/SWE-Bench_Verified:test,48,False,True,public_benchmark_fallback,docker.io/swebench/sweb.eval.x86_64.scikit-learn_1776_scikit-learn-14894:latest,Frozen before official-oracle outcomes; prior pilot order reused as prefix when available.
released_task_8add27b26abe316e,django__django-15104,django/django,a7e7043c8746933dafce652507d3b821801cdc7d,28a48760ccbbb8e549a66edeae834de8a47f4a34d06ba80e4c929c6ea55626d2,princeton-nlp/SWE-Bench_Verified:test,49,False,True,public_benchmark_fallback,docker.io/swebench/sweb.eval.x86_64.django_1776_django-15104:latest,Frozen before official-oracle outcomes; prior pilot order reused as prefix when available.
released_task_32a884cb9e7541b3,django__django-16263,django/django,321ecb40f4da842926e1bc07e11df4aabe53ca4b,ef08a5be58ef19907c5ccbc08283ca421442f12cf119e39a33cc4d0224911e56,princeton-nlp/SWE-Bench_Verified:test,50,False,True,public_benchmark_fallback,docker.io/swebench/sweb.eval.x86_64.django_1776_django-16263:latest,Frozen before official-oracle outcomes; prior pilot order reused as prefix when available.
released_task_b31dca5c15fcb419,sympy__sympy-24443,sympy/sympy,809c53c077485ca48a206cee78340389cb83b7f1,465efb86a6aacc25222e99cb78b1cdd86248af5a67b27ae1c4a043c1c126c0d4,princeton-nlp/SWE-Bench_Verified:test,51,False,True,public_benchmark_fallback,docker.io/swebench/sweb.eval.x86_64.sympy_1776_sympy-24443:latest,Frozen before official-oracle outcomes; prior pilot order reused as prefix when available.
released_task_2dc760e50d035174,django__django-13741,django/django,d746f28949c009251a8741ba03d156964050717f,649548e0c7ba74a107750c961644b757d2d8465b58073945fa9b92ff29705aba,princeton-nlp/SWE-Bench_Verified:test,52,False,True,public_benchmark_fallback,docker.io/swebench/sweb.eval.x86_64.django_1776_django-13741:latest,Frozen before official-oracle outcomes; prior pilot order reused as prefix when available.
released_task_52c13e3266d4501c,pytest-dev__pytest-6197,pytest-dev/pytest,e856638ba086fcf5bebf1bebea32d5cf78de87b4,ca576fd3db872eac6366a70f11be67886795dbb95d5719f2f9e8ff617c698371,princeton-nlp/SWE-Bench_Verified:test,53,False,True,public_benchmark_fallback,docker.io/swebench/sweb.eval.x86_64.pytest-dev_1776_pytest-6197:latest,Frozen before official-oracle outcomes; prior pilot order reused as prefix when available.
released_task_df968c962ec62163,django__django-14376,django/django,d06c5b358149c02a62da8a5469264d05f29ac659,5365417653d0973045c8b9dad432b1ea4300765b3114a94b249824beb70ec215,princeton-nlp/SWE-Bench_Verified:test,54,False,True,public_benchmark_fallback,docker.io/swebench/sweb.eval.x86_64.django_1776_django-14376:latest,Frozen before official-oracle outcomes; prior pilot order reused as prefix when available.
released_task_c03acb33a56d22ef,django__django-14534,django/django,910ecd1b8df7678f45c3d507dde6bcb1faafa243,2dfdaf218918ae65f7a8279d0c7bb35685a56cfa459949bed8d8765ac33511f9,princeton-nlp/SWE-Bench_Verified:test,55,False,True,public_benchmark_fallback,docker.io/swebench/sweb.eval.x86_64.django_1776_django-14534:latest,Frozen before official-oracle outcomes; prior pilot order reused as prefix when available.
released_task_5921987a268cd3bf,sphinx-doc__sphinx-10614,sphinx-doc/sphinx,ac2b7599d212af7d04649959ce6926c63c3133fa,59e104221b08590febe6ae868c6d35b4348e5c6fbf023b4806df6d313e88c730,princeton-nlp/SWE-Bench_Verified:test,56,False,True,public_benchmark_fallback,docker.io/swebench/sweb.eval.x86_64.sphinx-doc_1776_sphinx-10614:latest,Frozen before official-oracle outcomes; prior pilot order reused as prefix when available.
released_task_10b7cdb276063e7b,pydata__xarray-4687,pydata/xarray,d3b6aa6d8b997df115a53c001d00222a0f92f63a,c88bf8b1b5d25b8a288a2b44d5dfbdfb965ec927fa9658368ebeb65809441dbd,princeton-nlp/SWE-Bench_Verified:test,57,False,True,public_benchmark_fallback,docker.io/swebench/sweb.eval.x86_64.pydata_1776_xarray-4687:latest,Frozen before official-oracle outcomes; prior pilot order reused as prefix when available.
released_task_814570b719cd62fd,pydata__xarray-7393,pydata/xarray,41fef6f1352be994cd90056d47440fe9aa4c068f,7a754d9fc6c6c54623c0bbff6a45db2b812026258275ff61e8fa85d1c4f81f40,princeton-nlp/SWE-Bench_Verified:test,58,False,True,public_benchmark_fallback,docker.io/swebench/sweb.eval.x86_64.pydata_1776_xarray-7393:latest,Frozen before official-oracle outcomes; prior pilot order reused as prefix when available.
released_task_710948da4ab7cfee,django__django-11951,django/django,312049091288dbba2299de8d07ea3e3311ed7238,7c7ff1d81171a59af83ad9d0934053aa7c4e9bf6698ae2b3acde3e4d6353c169,princeton-nlp/SWE-Bench_Verified:test,59,False,True,public_benchmark_fallback,docker.io/swebench/sweb.eval.x86_64.django_1776_django-11951:latest,Frozen before official-oracle outcomes; prior pilot order reused as prefix when available.
released_task_850aca790a4743d9,django__django-15252,django/django,361bb8f786f112ee275be136795c0b1ecefff928,ac94dfb5dfb9903b30502daafec445b4d52b5549b1ab13215baf510048fc3e7d,princeton-nlp/SWE-Bench_Verified:test,60,False,True,public_benchmark_fallback,docker.io/swebench/sweb.eval.x86_64.django_1776_django-15252:latest,Frozen before official-oracle outcomes; prior pilot order reused as prefix when available.
